Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
15 LOWELL ST,239-59,239,59,7852,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3759983841, -71.1336365185999)"
172 BRATTLE ST,239-60,239,60,14827,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3768698932, -71.1355479941999)"
168 BRATTLE ST,239-62,239,62,20304,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3768580455, -71.1350593056999)"
168R BRATTLE ST,239-64,239,64,71531,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3762410565, -71.1347215442)"
4 CHANNING ST,239-65,239,65,11779,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3766079357, -71.1354331602999)"
158 BRATTLE ST,239-67,239,67,12444,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3771131812, -71.1339145886)"
3 LOWELL ST,239-68,239,68,8055,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3767864098999, -71.1342323645999)"
5 LOWELL ST,239-69,239,69,8000,130,Vacant Residential,RES-DEV-LAND,0, , , , , ,"(42.3767688715999, -71.1339362166999)"
99 OTIS ST,23-97,23,97,5950,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.370862164, -71.082507774)"
7 LOWELL ST,239-70,239,70,17462,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3765756578999, -71.1339532207999)"
160 BRATTLE ST,239-8,239,8,14005,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3770479240999, -71.1342937112)"
103 OTIS ST,23-98,23,98,2660,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3708819479, -71.0826628102)"
105 OTIS ST,23-99,23,99,2698,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3708951130999, -71.0827598359)"
26 ELMWOOD AVE,240-18,240,18,8800,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3753952665, -71.1373919905)"
20 ELMWOOD AVE,240-2,240,2,11250,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.375619946, -71.1372864381999)"
17 TRAILL ST,240-21,240,21,6789,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3754995887999, -71.1368251165999)"
15 TRAILL ST,240-22,240,22,7121,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3756632087999, -71.13688152)"
11 TRAILL ST,240-23,240,23,7044,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3758499082, -71.1369485104)"
11 CHANNING ST,240-27,240,27,10340,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3756697745999, -71.1357806966999)"
14 ELMWOOD AVE,240-3,240,3,8200,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3759042423, -71.1372312846999)"
361 MT AUBURN ST,240-31,240,31,4526,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3753025027, -71.1366316512999)"
363 MT AUBURN ST,240-32,240,32,4195,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3752991186999, -71.1368269360999)"
369 MT AUBURN ST,240-33,240,33,4728,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3752942347, -71.1370063528)"
375 MT AUBURN ST,240-34,240,34,4677,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3752326880999, -71.1371670564)"
393 MT AUBURN ST,240-35,240,35,10829,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3751590277, -71.1375129367999)"
180 BRATTLE ST,240-36,240,36,28714,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3765839904, -71.1367420458)"
341 MT AUBURN ST,240-38,240,38,4877,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3752433515999, -71.135865628)"
19 CHANNING ST,240-39,240,39,4919,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3751724137, -71.1355675397999)"
17 CHANNING ST,240-40,240,40,4712,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3753139630999, -71.1356191479)"
15 CHANNING ST,240-42,240,42,8050,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3754596961999, -71.1357465794)"
9 CHANNING ST,240-44,240,44,11510,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3758718647, -71.1359233642999)"
7 CHANNING ST,240-45,240,45,7233,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3760553580999, -71.1359697189)"
5 CHANNING ST,240-46,240,46,7233,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3761933007999, -71.1360152553999)"
3 CHANNING ST,240-47,240,47,7233,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3763302762, -71.1360630145999)"
12 TRAILL ST,240-48,240,48,10651,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3759720966, -71.1364312651)"
10 TRAILL ST,240-49,240,49,8576,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3762094523999, -71.1364828235)"
8 TRAILL ST,240-50,240,50,17503,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3762343478, -71.1368989183999)"
174 BRATTLE ST,240-51,240,51,26880,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3766585608, -71.1361760274999)"
20 TRAILL ST,240-53,240,53,8269,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3752630425, -71.1361182042)"
20 TRAILL ST,240-54,240,54,13988,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3755161878, -71.1362168966)"
16 TRAILL ST,240-9,240,9,9350,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3757386114, -71.1363358621999)"
70 SPRING ST,24-10,24,10,3500,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3688888, -71.0813090026999)"
68 SPRING ST,24-11,24,11,3500,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3688715413999, -71.0811782736)"
1010 MEMORIAL DR,241-10,241,10,35648,112,Residential,>8-UNIT-APT,80, , , , , ,"(42.3744350139999, -71.1325158179)"
57 OTIS ST,24-110,24,110,2500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3705631563, -71.0802034697999)"
59 OTIS ST,24-111,24,111,2500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3705745708, -71.0802940896)"
360 MT AUBURN ST,241-12,241,12,49577,113,Assisted Living/Boarding House,ASSISTED-LIV,44, , , , , ,"(42.3747239914, -71.1365849012999)"
61 OTIS ST,24-112,24,112,2500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3705863181999, -71.0803844399)"
MT AUBURN ST,241-13,241,13,8380,920,Public Open Space,Parklands,0, , , , ,State NonTax,"(42.3747952770999, -71.1373239540999)"
63-65 OTIS ST,24-113,24,113,5007,111,Residential,4-8-UNIT-APT,8, , , ,YES, ,"(42.3706030382, -71.0805195015)"
300 MT AUBURN ST,241-14,241,14,367205,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3742362465999, -71.1343313624)"
69 OTIS ST,24-114,24,114,5000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3706262729999, -71.0806992758)"
73 OTIS ST,24-116,24,116,5000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3706507509999, -71.0808835902)"
75 OTIS ST,24-117,24,117,5000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3706744528, -71.0810676653999)"
66 SPRING ST,24-12,24,12,2500,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3688565516999, -71.0810674213999)"
211 HURLEY ST,24-120,24,120,1050,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3685105586, -71.0812147663999)"
209 HURLEY ST,24-121,24,121,1050,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3686035126999, -71.0811928961)"
109 THIRD ST,24-123,24,123,32133,930,Government Operations,Government Operations,0, , , , ,State NonTax,"(42.3693712068999, -71.0806369646)"
55 OTIS ST,24-124,24,124,2503,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3705529852, -71.0801064702999)"
66 OTIS ST,24-129,24,129,2875,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3702138807, -71.0807563718)"
62 SPRING ST,24-13,24,13,6278,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3688235989, -71.0809050448)"
68 OTIS ST,24-130,24,130,3125,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3702315669, -71.0808662640999)"
79 SPRING ST,24-131,24,131,2451,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3693340765999, -71.0815590729999)"
77 SPRING ST,24-132,24,132,3482,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3693217836, -71.0814513325999)"
292 CAMBRIDGE ST,24-133,24,133,10000,341,Commercial,BANK,0, , , , , ,"(42.3709299956, -71.0808949312)"
110 SCIARAPPA ST,24-135,24,135,1250,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3686624326999, -71.0819032433)"
