Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
341 HARVARD ST,135-67,135,67,3440,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3710252310999, -71.1096443209)"
343 HARVARD ST,135-68,135,68,3656,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3710677687, -71.1097727352999)"
53 TROWBRIDGE ST,135-7,135,7,4212,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3730125117999, -71.1112164628)"
51 TROWBRIDGE ST,135-8,135,8,4000,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3728845894, -71.111301095)"
357-359 HARVARD ST,135-81,135,81,7689,112,Residential,>8-UNIT-APT,11, , , ,YES, ,"(42.3713774563, -71.1109028302)"
27 DANA ST,135-82,135,82,3478,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3713348735999, -71.1095176248)"
25 DANA ST,135-83,135,83,3487,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3712199352999, -71.1095941157999)"
55-57 ELLERY ST,135-84,135,84,4971,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3722796221, -71.1103291982)"
59R ELLERY ST,135-85,135,85,6885,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.372457889, -71.1105168051)"
430 BROADWAY,135-86,135,86,1892,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3727477736999, -71.1101626952)"
428 BROADWAY,135-87,135,87,1895,0104,Mixed Use Residential,MXD TWO-FAM-RES,2,groundfloor, , , , ,"(42.3727050940999, -71.1100540021)"
36 TROWBRIDGE ST,135-88,135,88,5993,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3718010110999, -71.1114922558)"
432 BROADWAY,135-96,135,96,3958,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3727321096, -71.1103203713999)"
434-440 BROADWAY,135-97,135,97,7012,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3727938963, -71.1104887261)"
16 PRESCOTT ST,136-11,136,11,6300,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3731831576999, -71.1135981511999)"
18 PRESCOTT ST,136-12,136,12,6300,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3733167644999, -71.1135530816)"
20 PRESCOTT ST,136-13,136,13,14853,112,Residential,>8-UNIT-APT,39, , , , , ,"(42.3735332366999, -71.1134889918999)"
470 BROADWAY,136-15,136,15,13379,324,Commercial,SUPERMARKET,0, , , , , ,"(42.3738062705999, -71.1131248889)"
17 WARE ST,136-18,136,18,6522,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3732192387999, -71.1130923913)"
15 WARE ST,136-19,136,19,6330,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3730881920999, -71.1131483655999)"
480 BROADWAY,136-2,136,2,184924,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3733942769, -71.1143611740999)"
7 WARE ST,136-20,136,20,8700,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3723585843999, -71.1134316953999)"
387 HARVARD ST,136-21,136,21,8700,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3721026123999, -71.1135576904)"
22-24 PRESCOTT ST,136-22,136,22,8395,112,Residential,>8-UNIT-APT,40, , , , , ,"(42.3738238007, -71.1134722272)"
472-474 BROADWAY,136-23,136,23,6802,112,Residential,>8-UNIT-APT,19, , , , , ,"(42.3740443087, -71.1134162462)"
19 WARE ST,136-29,136,29,12491,111,Residential,4-8-UNIT-APT,7, , , , , ,"(42.3734090992999, -71.1130179796)"
29 WARE ST,136-30,136,30,4352,121,Assisted Living/Boarding House,BOARDING-HSE,12, , , , , ,"(42.3738015918, -71.1127543213)"
27 WARE ST,136-31,136,31,2551,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3737062539999, -71.1127878454999)"
25 WARE ST,136-32,136,32,2518,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3736359469, -71.1128194470999)"
23 WARE ST,136-33,136,33,3824,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3735464750999, -71.1128547709)"
10 PRESCOTT ST,136-34,136,34,15060,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3728723608999, -71.1137759270999)"
11 WARE ST,136-37,136,37,30949,112,Residential,>8-UNIT-APT,98, , , , , ,"(42.3727848845, -71.1133568853)"
391 HARVARD ST,136-39,136,39,16990,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3722611370999, -71.1138826531)"
6 PRESCOTT ST,136-9,136,9,7492,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3725193064, -71.1137836206)"
491 BROADWAY,137-1,137,1,21173,930,Government Operations,Government Operations,0, , , , ,City NonTax,"(42.3752930894, -71.1147894971)"
469 BROADWAY,137-13,137,13,5500,337,Transportation,PARKING-LOT,0, , , , , ,"(42.3742331365, -71.1127985203)"
84 PRESCOTT ST,137-16,137,16,13130,112,Residential,>8-UNIT-APT,28, , , , , ,"(42.3745711697999, -71.1133361197999)"
38 QUINCY ST,137-2,137,2,24908,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.37510837, -71.1140643802)"
85-95 PRESCOTT ST,137-35,137,35,18180,112,Residential,>8-UNIT-APT,82, , , , , ,"(42.3748558927999, -71.1137948891999)"
1716 CAMBRIDGE ST,137-38,137,38,15414,112,Residential,>8-UNIT-APT,31, , , ,YES, ,"(42.3749852218999, -71.1126093265)"
1700 CAMBRIDGE ST,137-39,137,39,145063,934,Education,Public Schools,0, , , , ,City NonTax,"(42.3744103776, -71.1117990558)"
1746 CAMBRIDGE ST,137-4,137,4,4183,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3751901405999, -71.1136231396999)"
471 BROADWAY,137-42,137,42,63987,942,Higher Education,Private College,0, , , , ,Educ NonTax,"(42.3745960314999, -71.1126683310999)"
441 BROADWAY,138-2,138,2,232128,934,Education,Public Schools,0, , , , ,City NonTax,"(42.3739180319999, -71.1097841553)"
445 BROADWAY,138-33,138,33,141666,934,Education,Public Schools,0, , , , ,City NonTax,"(42.3741768137999, -71.1108505459999)"
1612 CAMBRIDGE ST,138-34,138,34,1654,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3745944101, -71.1088720702999)"
1610 CAMBRIDGE ST,138-35,138,35,1684,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3745813812999, -71.1087779452)"
1608 CAMBRIDGE ST,138-6,138,6,3684,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3745591325999, -71.1086314613999)"
109 ELLERY ST,138-7,138,7,3071,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3744340288999, -71.1087877085)"
107 ELLERY ST,138-8,138,8,3718,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3743184503, -71.1088499793)"
427 BROADWAY,139-1,139,1,6325,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3728760226, -71.1094084327999)"
102 ELLERY ST,139-10,139,10,2700,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3740287279999, -71.1084576493999)"
106 ELLERY ST,139-12,139,12,8891,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3742865173, -71.1082416657)"
1590 CAMBRIDGE ST,139-13,139,13,5777,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3744982154, -71.1082392800999)"
1588-1586 CAMBRIDGE ST,139-14,139,14,7682,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3744322999, -71.107977253)"
1578 CAMBRIDGE ST,139-16,139,16,6077,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3743772246999, -71.1077553787)"
1574 CAMBRIDGE ST,139-17,139,17,1831,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3744369580999, -71.1075338649)"
81 DANA ST,139-18,139,18,4972,013,Mixed Use Residential,MULTIUSE-RES,3,mixed, , , , ,"(42.3743884363, -71.1073552744999)"
79 DANA ST,139-19,139,19,3833,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3742785383999, -71.1075147246999)"
78 ELLERY ST,139-195,139,195,5509,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3731133858999, -71.1088661172999)"
84 ELLERY ST,139-196,139,196,5175,121,Assisted Living/Boarding House,BOARDING-HSE,8, , , , , ,"(42.3733205823, -71.1089507471999)"
407 BROADWAY,139-197,139,197,6640,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3724349081999, -71.1083022788999)"
74 ELLERY ST,139-2,139,2,4875,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3730553178, -71.1092782369999)"
75-77 DANA ST,139-20,139,20,4000,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3741824544, -71.1075821932)"
48.5A DANA ST,139-200,139,200,2243,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3725720073, -71.1082043873999)"
48.5B DANA ST,139-201,139,201,2499,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3726368247, -71.1081323793)"
73 DANA ST,139-21,139,21,11250,112,Residential,>8-UNIT-APT,16, , , , , ,"(42.3740757531, -71.1077645839999)"
71 DANA ST,139-22,139,22,11250,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3738931744, -71.1078925599999)"
69 DANA ST,139-23,139,23,11256,111,Residential,4-8-UNIT-APT,8, , , , , ,"(42.3737135749, -71.1080245434)"
65 DANA ST,139-25,139,25,11206,112,Residential,>8-UNIT-APT,33, , , , , ,"(42.3733480734, -71.1082851681999)"
63 DANA ST,139-26,139,26,11245,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3731670728, -71.1084146946)"
57 DANA ST,139-28,139,28,1580,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3728177098999, -71.1085040229999)"
55 DANA ST,139-29,139,29,1580,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3727687224999, -71.1085395556)"
53 DANA ST,139-30,139,30,1580,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3727198508999, -71.1085737163)"
51 DANA ST,139-31,139,31,1480,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3726715916999, -71.1086086883999)"
407A BROADWAY,139-32,139,32,2170,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3725361405999, -71.1086147041999)"
409 BROADWAY,139-33,139,33,1470,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3725753471, -71.1086987774999)"
411 BROADWAY,139-34,139,34,1452,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.37259336, -71.1087725423)"
413 BROADWAY,139-35,139,35,2652,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3727217563999, -71.1088091761999)"
415 BROADWAY,139-36,139,36,2671,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3727501223999, -71.1088685864)"
417 BROADWAY,139-37,139,37,2671,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3727738181, -71.1089312344)"
419 BROADWAY,139-38,139,38,2671,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3727980951, -71.1089939172999)"
421 BROADWAY,139-39,139,39,2671,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3728210274, -71.1090554654)"
423 BROADWAY,139-40,139,40,2672,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3728479972999, -71.1091149296999)"
425 BROADWAY,139-41,139,41,2641,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3728689069, -71.1091789992999)"
48 DANA ST,139-43,139,43,5713,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3727652931, -71.1080713332)"
52-54 DANA ST,139-44,139,44,4840,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3729286948999, -71.1079405038999)"
56 DANA ST,139-45,139,45,1500,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3730294548999, -71.1078677021999)"
58 DANA ST,139-46,139,46,1461,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3730764236999, -71.1078329939)"
60 DANA ST,139-47,139,47,1500,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.373121627, -71.1078005166999)"
62 DANA ST,139-48,139,48,3600,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3731987639, -71.1077447456)"
64 DANA ST,139-49,139,49,6000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3733412571, -71.1076425726)"
86 ELLERY ST,139-5,139,5,5675,121,Assisted Living/Boarding House,BOARDING-HSE,8, , , , , ,"(42.3734054223, -71.1088693561)"
66 DANA ST,139-50,139,50,4822,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3735016259999, -71.1075266338)"
68 DANA ST,139-51,139,51,4803,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3736482074999, -71.1074217838999)"
70 DANA ST,139-52,139,52,4778,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3737956881, -71.1073157861)"
82 DANA ST,139-55,139,55,2535,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3741566727999, -71.1070633310999)"
27 ELLSWORTH AVE,139-59,139,59,5880,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3741155722999, -71.1066740190999)"
19 ELLSWORTH AVE,139-61,139,61,6452,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3736704036, -71.1070165645)"
17 ELLSWORTH AVE,139-62,139,62,6219,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3735251355, -71.107127315)"
13 ELLSWORTH AVE,139-64,139,64,5822,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3732407059999, -71.1073469317999)"
11 ELLSWORTH AVE,139-65,139,65,5602,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3731009282999, -71.1074543725)"
9 ELLSWORTH AVE,139-66,139,66,5417,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3729576516999, -71.1075655581)"
7 ELLSWORTH AVE,139-67,139,67,5218,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3728134129, -71.107674586)"
5 ELLSWORTH AVE,139-68,139,68,5012,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3726706758, -71.1077864038)"
3 ELLSWORTH AVE,139-69,139,69,4803,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3725271723, -71.1078966512999)"
405 BROADWAY,139-70,139,70,6985,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3723463826, -71.1080361777)"
72 DANA ST,139-71,139,71,2558,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3739093774999, -71.1072351835999)"
74-76 DANA ST,139-72,139,72,2938,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3739915251999, -71.1071756257999)"
1560 CAMBRIDGE ST,139-73,139,73,4476,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3743211661999, -71.1069984764999)"
1556 CAMBRIDGE ST,139-74,139,74,3189,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3742860222999, -71.1068640965)"
23 ELLSWORTH AVE,139-75,139,75,4053,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3738621620999, -71.1068645641999)"
21 ELLSWORTH AVE,139-76,139,76,3579,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3737810872, -71.1069283154999)"
78 DANA ST,139-77,139,77,2529,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3740777215, -71.1071214099)"
25 ELLSWORTH AVE,139-78,139,78,7157,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3739834471999, -71.1067833145)"
96-98 ELLERY ST,139-8,139,8,10359,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3738651836999, -71.1084902579)"
29 ELLSWORTH AVE,139-80,139,80,2293,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3741809344, -71.1065287155)"
1552 CAMBRIDGE ST,139-81,139,81,3142,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3743108251999, -71.1066903405999)"
1546 CAMBRIDGE ST,139-82,139,82,2416,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3743085273999, -71.1065138034)"
1540 CAMBRIDGE ST,139-83,139,83,2567,325,Commercial,RETAIL-STORE,0, , , , , ,"(42.3742730148999, -71.1063704918)"
80 ELLERY ST,139-85,139,85,6141,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3732264440999, -71.1091017364)"
92 ELLERY ST,139-86,139,86,12720,112,Residential,>8-UNIT-APT,11, , , , , ,"(42.3737100685, -71.1086522132)"
88 ELLERY ST,139-88,139,88,9780,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3735296253, -71.1087802729)"
104 ELLERY ST,139-89,139,89,3824,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3741957356999, -71.1084854263999)"
100 ELLERY ST,139-9,139,9,2700,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3739789254999, -71.1084904191999)"
104R ELLERY ST,139-90,139,90,5176,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3741009132999, -71.1082408870999)"
59 DANA ST,139-91,139,91,6150,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3730530035999, -71.1087216152999)"
61 DANA ST,139-92,139,92,5100,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3729809137999, -71.108443175)"
15 ELLSWORTH AVE,139-93,139,93,2835,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3733430119999, -71.1072677656)"
15A ELLSWORTH AVE,139-94,139,94,3207,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3734151637999, -71.1072118778999)"
67 DANA ST,139-95,139,95,7350,111,Residential,4-8-UNIT-APT,7, , , ,YES, ,"(42.3734948525999, -71.1080678705999)"
67A DANA ST,139-96,139,96,3900,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3735930026999, -71.1083108888)"
19 ROBERTS RD,140-10,140,10,7236,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3761958861, -71.1087414155999)"
6 ADAMS TER,140-107,140,107,3999,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3753950253, -71.1091915904)"
12 ADAMS TER,140-108,140,108,4012,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3754158766, -71.1093389077999)"
9 ADAMS TER,140-109,140,109,4754,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3757902493, -71.1092476830999)"
5 ADAMS TER,140-110,140,110,4756,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3757723264999, -71.1090986927)"
13 ROBERTS RD,140-111,140,111,3875,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3758522158999, -71.1088211081)"
11 ROBERTS RD,140-112,140,112,3920,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3757438983, -71.1088478328999)"
9 ROBERTS RD,140-113,140,113,3920,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3756336844, -71.1088751643)"
7 ROBERTS RD,140-114,140,114,3920,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3754426431, -71.1089216457999)"
5 ROBERTS RD,140-115,140,115,3920,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3753342349999, -71.1089477021999)"
3 ROBERTS RD,140-116,140,116,3720,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3752261823999, -71.1089628446)"
3 NICHOLS PL,140-119,140,119,2559,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3762042322999, -71.1091088322999)"
22 ROBERTS RD,140-124,140,124,18748,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3761129414, -71.1080210461999)"
4 EMMONS PL,140-125,140,125,5013,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3767703083, -71.1088490510999)"
41 MAGNOLIA AVE,140-126,140,126,3591,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3765175763999, -71.1062409933)"
59 MAGNOLIA AVE,140-128,140,128,4338,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3764980460999, -71.1060782841999)"
61 MAGNOLIA AVE,140-129,140,129,4338,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3764741544, -71.1058980223999)"
25 MAGNOLIA AVE,140-133,140,133,3060,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3766522035, -71.1072605667)"
1571 CAMBRIDGE ST,140-134,140,134,237650,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.375653636, -71.1068574192999)"
1571 CAMBRIDGE ST,140-134A,140,134A,41945,113,Assisted Living/Boarding House,ASSISTED-LIV,95, , , , , ,"(42.3748548184999, -71.1065291888999)"
1 ROBERTS RD,140-136,140,136,7232,424,Utility,PUB UTIL REG,0, , , , , ,"(42.3751709961, -71.1091788356)"
88 TROWBRIDGE ST,140-138,140,138,26630,940,Education,Private Pre & Elem School,0, , , , ,Educ NonTax,"(42.3754986263, -71.1096145988999)"
17 ROBERTS RD,140-140,140,140,5457,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3760433668999, -71.1091157415999)"
100 TROWBRIDGE ST,140-142,140,142,4930,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3760622621, -71.1095248054)"
96 TROWBRIDGE ST,140-144,140,144,6009,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3758815699999, -71.1095743699)"
98 TROWBRIDGE ST,140-145,140,145,3305,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3759457783, -71.1093733290999)"
1 NICHOLS PL,140-146,140,146,1398,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3763527407, -71.1090762802)"
2 NICHOLS PL,140-147,140,147,1279,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3762928602999, -71.1090884409999)"
1613 CAMBRIDGE ST,140-148,140,148,13134,325,Commercial,RETAIL-STORE,0, , , , , ,"(42.3750018093, -71.1091544696)"
1643 CAMBRIDGE ST,140-149,140,149,10811,112,Residential,>8-UNIT-APT,36, , , ,YES, ,"(42.3750877427, -71.1097128219)"
24 LEONARD AVE,140-150,140,150,3665,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3762614249, -71.1057019552)"
22 LEONARD AVE,140-151,140,151,3623,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3761383491, -71.1057283763999)"
15A ROBERTS RD,140-152,140,152,3201,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3759874504999, -71.1086696799)"
15B ROBERTS RD,140-153,140,153,1246,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3760294886999, -71.1087749586999)"
15C ROBERTS RD,140-154,140,154,2731,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3760191255, -71.1088993885999)"
6 EMMONS PL,140-2,140,2,5100,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3768015393999, -71.1090136727)"
36 ROBERTS RD,140-25,140,25,2941,105,Residential,THREE-FM-RES,3, , , , , ,"(42.376828705, -71.1081220673)"
9 MAGNOLIA AVE,140-26,140,26,2472,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3767577002999, -71.1079500533)"
11 MAGNOLIA AVE,140-27,140,27,2167,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3767431333, -71.1078362889)"
1 LAMONT AVE,140-28,140,28,2100,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3765998077, -71.1079315133)"
5 LAMONT AVE,140-29,140,29,2154,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3765009704999, -71.1079542047999)"
6 LAMONT AVE,140-30,140,30,2189,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3764519658, -71.1076251599999)"
4 LAMONT AVE,140-31,140,31,2189,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3765520587, -71.1076045963)"
17 MAGNOLIA AVE,140-32,140,32,2175,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3767125287999, -71.1076237873)"
19 MAGNOLIA AVE,140-33,140,33,2302,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3766985096999, -71.1075183933999)"
31 MAGNOLIA AVE,140-37,140,37,4050,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3765948072, -71.1068321830999)"
35 MAGNOLIA AVE,140-39,140,39,4860,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3765727735, -71.1066543615999)"
26-28 LEONARD AVE,140-45,140,45,5394,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3764237597, -71.1056877255)"
20 LEONARD AVE,140-48,140,48,3643,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3760171274999, -71.1057571268)"
18 LEONARD AVE,140-49,140,49,3643,121,Assisted Living/Boarding House,BOARDING-HSE,2, ,YES, , ,Other NonTax,"(42.3758995704, -71.1057859559)"
35 ROBERTS RD,140-5,140,5,4000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3768554963999, -71.1085712167)"
16 LEONARD AVE,140-50,140,50,3642,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3757798059, -71.1058127415)"
14 LEONARD AVE,140-51,140,51,3641,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3756558151999, -71.1058423205)"
12 LEONARD AVE,140-52,140,52,3640,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3755329485999, -71.1058713278)"
10 LEONARD AVE,140-53,140,53,3640,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3754099853, -71.1058993636)"
8 LEONARD AVE,140-54,140,54,3639,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3752877155, -71.1059281019999)"
6 LEONARD AVE,140-55,140,55,3638,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3751669777999, -71.1059571316999)"
4 LEONARD AVE,140-56,140,56,3637,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3750453151999, -71.1059844936)"
2 LEONARD AVE,140-57,140,57,3636,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3749236224999, -71.1060135375)"
1539 CAMBRIDGE ST,140-58,140,58,5200,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3746782330999, -71.1059949439)"
1541 CAMBRIDGE ST,140-59,140,59,5300,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3746956359999, -71.106143724)"
33 ROBERTS RD,140-6,140,6,4016,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3767394683999, -71.1085994066)"
1591 CAMBRIDGE ST,140-61,140,61,24400,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3752479535, -71.1079554269999)"
1595 CAMBRIDGE ST,140-62,140,62,2000,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3748416011, -71.1081275718999)"
35 HOVEY AVE,140-67,140,67,9120,112,Residential,>8-UNIT-APT,17, , , , , ,"(42.3758191135, -71.1078269589999)"
29 ROBERTS RD,140-7,140,7,4004,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3766245508999, -71.1086280959)"
1603 CAMBRIDGE ST,140-70,140,70,61267,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3754155397, -71.108329983)"
24 ROBERTS RD,140-72,140,72,3185,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3763019710999, -71.1082067078999)"
4 BALDWIN STREET CT,140-73,140,73,2680,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3762579021, -71.1079093282999)"
55 HOVEY AVE,140-74,140,74,2461,955,Health,Hospitals & Medical Offic,0, , , , ,Other NonTax,"(42.3762340422999, -71.1076717249)"
57 HOVEY AVE,140-75,140,75,2193,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3763475168, -71.1076510506999)"
